Cluster,logAge50,Nstars,mean_30,mean_35,mean_39,mean_45,mean_50,mean_55,freqratio_20,freqratio_25,freqratio_30,freqratio_35,freqratio_39,freqratio_45,freqratio_50,freqratio_55
OC_0011,9.14239407,862,-25.140172805794663,18.310469311386445,11.285917878580301,13.013468720349609,6.289525653537542,-8.992455458680135,0.2786650384474075,0.1829787730965813,-0.0364249117546649,0.0151068351788895,-0.1687352385281065,-0.5085370886924997,-0.6146207076398857,-0.6666797292500254
Berkeley_89,9.0437603,351,-23.79298269001678,21.384194521146433,19.695943818943856,7.763219182842153,20.36587168124043,4.800103482468752,0.2786650384474075,0.1829787730965813,-1.060708186257776,-5.879145318568878,-0.2220587643916026,-0.5065044485276188,-0.6146207076398857,-0.6434239152965371
Trumpler_32,8.88321638,826,-22.380283014194237,12.261458842154742,11.737693548975304,11.964843250230016,13.849346436412333,-4.432431718100621,0.2786650384474075,0.1829787730965813,-0.0364249117546649,0.0151068351788895,-0.5272976204003329,-0.5085370886924997,-0.5992551899488887,-0.6515279172216157
CWNU_2632,8.85275078,28,-21.717271825581157,1.4771563971196497,6.774305014870241,19.933975929253833,21.538326855107425,10.62782033190541,0.3129439447421415,0.2093617491094949,-0.0303540931288874,0.0134282979367907,-0.0397056296732112,-1.0210143721661529,-0.4991724332765429,-0.6504202038475877
FSR_0222,9.02418566,91,-20.632940765796207,8.683744244425023,3.0680386834849185,-11.53658623342133,-4.853794274975275,-3.773910558598829,0.2696309583840363,0.5008762471189544,-1.060708186257776,-0.5252763545712588,-0.497250518539362,-0.5909218566155553,-0.4994041519591109,-0.5028343789449338
UBC_1518,8.80448389,44,-18.31687588919437,3.034612448938171,4.475577122004695,19.104207532092428,19.945563294176313,13.206953697483293,0.3073556600146032,0.2234802893039683,-0.0364249117546649,0.0134282979367907,-0.0397056296732112,-0.0195133455828564,-0.2495034599659258,-0.6504202038475877
UBC_572,8.8557806,62,-18.168842343816365,6.286884838677063,8.251920066401182,18.047382442093973,22.29377022087493,13.237313720259234,0.3002206844595886,0.1947203000189301,-0.0364249117546649,0.0134282979367907,0.960294370326788,-0.5136593419079996,-0.4991724332765429,-0.6288006444943431
UBC_314,8.8808279,192,-17.921464770393197,2.069594056528785,10.885182144229821,17.152648131496477,21.011799612147758,11.529227329130944,0.5062328517887582,0.5006476609140097,-0.0364249117546649,0.0134282979367907,-0.0397056296732112,-1.0227655698466656,-0.4991237528810455,-0.6201681013430488
HSC_2364,8.95455456,33,-17.29456443078825,10.156933214861608,22.568606391675512,15.660923732614062,8.411417789582554,-5.661428844791068,0.2925368646311112,0.1795263434155137,-0.0303540931288874,0.0134282979367907,-0.9487965387641204,-0.2504374875124526,-0.6307949367883038,-0.4938375621805758
HSC_76,8.83005285,34,-16.501872221376257,13.80901530969897,14.680551605024908,14.606154630757963,8.415232096909913,-9.088398708271134,0.2925368646311112,0.1983942679438156,0.5353194934696306,0.0151068351788895,-0.8263068807117029,-0.3390247257949998,-0.6146207076398857,-0.6434239152965371
Turner_9,8.78000546,120,-16.329272647625345,12.136240150945547,17.223090216335716,22.786013714279125,16.62408708591718,0.9314145895683895,0.2925368646311112,0.1795263434155137,-0.0364249117546649,0.0151068351788895,0.945404759199334,-0.5091062279386663,-0.5992551899488887,-0.6515279172216157
SAI_122,8.92141724,233,-13.469021299538468,0.8612736116086295,11.255459649776428,16.11612354162367,15.121423572666231,15.296038634893003,0.3252128028717461,0.2234802893039683,0.5353194934696306,0.0134282979367907,-0.0397056296732112,-1.0210143721661529,-0.6237586499148144,-0.6504202038475877
UBC_1528,8.64778948,98,-13.02123315986757,-2.9104263103263364,11.891213415316484,19.260831046344,17.311143325698744,12.97559278070462,0.3312399476003065,0.2502402613068101,0.1347909558832184,0.0134282979367907,-0.0397056296732112,2.1453626323680024,-0.3327816221843619,-0.5031552520330396
